Site,No,Type,MXL,MXW,MXT,TCSA,UseWare
TK,25,KN,105.7,27.5,10.9,149.875,KN
TK,108,KN,70.1,22.2,6.6,73.26,KN
TK,159,KN,62.7,14.1,4.8,33.84,KN
TK,165,KN,100.3,30.2,8.4,126.84,KN
TK,181,KN,106.1,28.1,8.3,116.615,KNIF
TK,226,KN,101,17.3,5.8,50.17,KNIF
TK,233,KN,133.2,45.1,12.3,277.365,KNIF
TK,241,KN,102.8,20.4,7.2,73.44,KNB
TK,244,KN,113.6,23.8,7.2,85.68,KN
TK,273,KN,161.2,28.1,12.3,172.815,KNIF
TK,315,KN,100.2,29.2,8.2,119.72,KN
TK,374,KN,75.1,15.1,7.2,54.36,KN
TK,395,KN,125.9,36.8,10.2,187.68,KNIF
TK,498,KN,114.3,45.6,10.3,234.84,KN
TK,548,KN,156,38.1,12.4,236.22,KNB
TK,573,KN,84.1,21.8,8.2,89.38,KN
TK,655,KN,99.6,18.3,8.7,79.605,KNIF
TK,687,KN,92.6,22.1,5.3,58.565,KN
TK,764,KN,101.9,18.3,6,54.9,KNIF
TK,769,KN,101.5,25.6,8,102.4,KNB
TK,868,KN,92.1,16.1,6.8,54.74,KNIF
TK,1099,KN,75.9,30,5.5,82.5,KN
TK,1100,KN,131,9.8,4.9,24.01,KN
TK,1115,KN,81.1,26.1,8.7,113.535,KN
TK,1727,KN,98.5,24.6,7.2,88.56,KN
TK,1779,KN,112.8,28.5,8.9,126.825,KN
TK,1848,KN,115.9,35.9,10.1,181.295,KN
TK,1878,KN,73.4,24,6,72,KN
TK,15,BL,79.8,25.2,11.4,143.64,BL
TK,31,BL,34,22.2,7.2,79.92,BL
TK,49,BL,50.5,29.5,9,132.75,BL
TK,105,BL,66.1,29.7,7.3,108.405,BL
TK,117,BL,66.8,33.4,7.5,125.25,BL
TK,154,BL,44.9,21.9,10.2,111.69,BL
TK,163,BL,84.9,25.8,7.9,101.91,BL
TK,170,BL,100.5,32.1,7.4,118.77,BL
TK,191,BL,105.9,44.3,12.1,268.015,BL
TK,196,BL,152.4,34.4,12.7,218.44,BL
TK,210,BL,91.7,25.6,11.3,144.64,BL
TK,213,BL,85.9,37.4,4.8,89.76,BL
TK,218,BL,81.9,27,8.1,109.35,BL
TK,219,BL,141.4,38.6,14.3,275.99,BL
TK,227,BL,77.9,37.8,13.5,255.15,BL
TK,229,BL,111,34.2,8.5,145.35,BL
TK,242,BL,113.6,23.1,8.8,101.64,BL
TK,266,BL,99.1,27.7,8.7,120.495,BL
TK,275,BL,109.5,30.1,10.6,159.53,BL
TK,284,BL,75.9,26.2,6.9,90.39,BL
TK,287,BL,129.8,36.2,8,144.8,BL
TK,302,BL,95,33.1,8.8,145.64,BL
TK,310,BL,115.3,38.1,9.7,184.785,BL
TK,326,BL,72.6,28.7,6.5,93.275,BL
TK,347,BL,31.1,12.1,4.3,26.015,BL
TK,372,BL,106,27.9,12.4,172.98,BL
TK,397,BL,90.1,43.7,14.8,323.38,BL
TK,407,BL,111.2,33.1,6.8,112.54,BL
TK,427,BL,55.4,32.1,5.5,88.275,BL
TK,455,BL,88.4,33.7,13.3,224.105,BL
TK,457,BL,68.9,17.3,6.8,58.82,BL
TK,460,BL,63.8,20.9,5.2,54.34,BL
TK,490,BL,120.3,32.2,9.6,154.56,BL
TK,502,BL,41.6,17.6,5.4,47.52,BL
TK,504,BL,73.7,28.9,5.9,85.255,BL
TK,507,BL,161.5,35.4,11.6,205.32,BL
TK,509,BL,107.1,32.1,9.2,147.66,BL
TK,511,BL,83.2,29.2,9.6,140.16,BL
TK,515,BL,87.1,24.3,10.3,125.145,BL
TK,516,BL,138.6,35.4,14.9,263.73,BL
TK,522,BL,135.1,33.4,18.3,305.61,BL
TK,523,BL,88.6,31.2,11.4,177.84,BL
TK,528,BL,71.8,26.5,7.1,94.075,BL
TK,550,BL,111,31.4,12.7,199.39,BL
TK,560,BL,126.1,53,14.1,373.65,BL
TK,612,BL,136.7,42.3,11.1,234.765,BL
TK,702,BL,86.4,30.2,9.1,137.41,BL
TK,749,BL,138.1,42.6,18.8,400.44,BL
TK,765,BL,124.2,27.2,8.4,114.24,BL
TK,806,BL,102.6,21.6,10.9,117.72,BL
TK,1183,BL,79.7,26.6,6.9,91.77,BL
TK,1206,BL,84.4,24.2,10.2,123.42,BL
TK,1243,BL,62.2,29.2,5.9,86.14,BL
TK,1280,BL,101.3,24.3,10.8,131.22,BL
TK,1294,BL,125,51.6,19.1,492.78,BL
TK,1308,BL,107.8,28.47,10.3,146.6205,BL
TK,1588,BL,65.8,17.8,8.8,78.32,BL
TK,1605,BL,121.9,43.8,15.4,337.26,BL
TK,1617,BL,71.4,25.1,9.4,117.97,BL
TK,1697,BL,94.4,24.4,5.1,62.22,BL
TK,1726,BL,99.2,27.8,9.2,127.88,BL
TK,1769,BL,112.1,28.4,6.8,96.56,BL
TK,1847,BL,69.8,21.5,5.5,59.125,BL
TK,1867,BL,90.8,25.1,10.8,135.54,BL
TK,1894,BL,75.6,23.6,8.9,105.02,BL
TK,1905,BL,100.4,30.2,13.3,200.83,BL
TK,18,ES,94.7,30.8,8.4,129.36,ESA
TK,19,ES,103.9,35.4,8.1,143.37,ESA
TK,200,ES,93.4,25.6,7.5,96,ESA
TK,205,ES,113.3,24.5,7.9,96.775,ESA
TK,214,ES,71.2,39.2,14.9,292.04,ES
TK,230,ES,74.8,33.5,10.1,169.175,ES
TK,322,ES,89,28,12,168,ESA
TK,344,ES,106.8,33.7,11.1,187.035,ES
TK,346,ES,94.1,38.5,12.4,238.7,ESA
TK,351,ES,125.5,41.4,14.4,298.08,ESA
TK,389,ES,105.9,32.8,8.7,142.68,ES
