Site,No,Type,MXL,MXW,MXT,TCSA,UseWare,3D,EFA,Area(áuÅj,Verts,file name:EFA
TK,25,KN,105.7,27.5,10.9,149.875,,ÅZ,ÅZ,0.005055975,510812,d_106TKKN_25
TK,96,KN,90.6,25.4,5.2,66.04,IF,ÅZ,ÅZ,0.004021909,549962,d_159TKKN_F10-96
TK,108,KN,70.1,22.2,6.6,73.26,,ÅZ,ÅZ,0.002619412,345168,
TK,165,KN,100.3,30.2,8.4,126.84,,ÅZ,ÅZ,0.004708389,480936,
TK,181,KN,106.1,28.1,8.3,116.615,IF,ÅZ,ÅZ,0.004285903,425972,d_125TKKN_F3-181
TK,226,KN,101,17.3,5.8,50.17,IF,ÅZ,ÅZ,0.003052828,301008,d_129TKKN_F7-226
TK,233,KN,133.2,45.1,12.3,277.365,IF,ÅZ,ÅZ,0.00812613,855230,d_126TKKN_F1-233
TK,241,KN,102.8,20.4,7.2,73.44,B,ÅZ,ÅZ,0.003417228,329079,d_A123TKKN_A1-241
TK,273,KN,161.2,28.1,12.3,172.815,IF,ÅZ,ÅZ,0.007977588,820711,d_156-2TKKN_F9-273
TK,315,KN,100.2,29.2,8.2,119.72,,ÅZ,ÅZ,0.004802852,439426,d_160TKKN_F11-315
TK,395,KN,125.9,36.8,10.2,187.68,IF,ÅZ,ÅZ,0.007203634,658012,d_124TKKN_F2-395
TK,433,KN,106.6,30.4,7.3,110.96,,ÅZ,ÅZ,0.005030124,440714,d_110TKKN_433
TK,498,KN,114.3,45.6,10.3,234.84,,ÅZ,ÅZ,0.006685895,604750,d_103TKKN_5-498
TK,548,KN,156,38.1,12.4,236.22,B,ÅZ,ÅZ,0.010454073,997734,d_A112TKKN_A2-548
TK,573,KN,84.1,21.8,8.2,89.38,,ÅZ,ÅZ,0.003505182,369384,
TK,655,KN,99.6,18.3,8.7,79.605,IF,ÅZ,ÅZ,0.003481406,328150,d_130TKKN_F8-655
TK,687,KN,92.6,22.1,5.3,58.565,,ÅZ,ÅZ,0.003482492,319642,d_120TKKN_687
TK,764,KN,101.9,18.3,6,54.9,IF,ÅZ,ÅZ,0.00332081,364076,d_127TKKN_F5-764
TK,768,KN,88.1,16.1,5.7,45.885,,ÅZ,ÅZ,0.002702519,266216,d_118TKKN_768
TK,868,KN,92.1,16.1,6.8,54.74,IF,ÅZ,ÅZ,0.002499106,241271,d_128TKKN_F6-868
TK,1099,KN,75.9,30,5.5,82.5,,ÅZ,ÅZ,0.003302248,291227,
TK,1100,KN,131,9.8,4.9,24.01,,ÅZ,ÅZ,0.004010009,420281,d_121TKKN_1100
TK,1115,KN,81.1,26.1,8.7,113.535,,ÅZ,ÅZ,0.003320979,300705,d_122TKKN_1115
TK,1468,KN,115.9,35.9,10.1,181.295,,ÅZ,ÅZ,0.008356014,860211,d_119TKKN_1468
TK,1727,KN,98.5,24.6,7.2,88.56,,,ÅZ,,,d_105TKKN_1727
TK,1779,KN,112.8,28.5,8.9,126.825,,ÅZ,ÅZ,0.005260154,523192,d_104TKKN_1779
TK,1848,KN,115.9,35.9,10.1,181.295,,ÅZ,ÅZ,0.007060542,726372,d_115TKKN_1848
TK,1878,KN,73.4,24,6,72,,ÅZ,ÅZ,0.002617556,253444,
TK,14,BL,190.5,51.6,13.7,353.46,,,ÅZ,,,b_56TKbL_14
TK,15,BL,79.8,25.2,11.4,143.64,,,ÅZ,,,b_57TKbL_15
TK,31,BL,34,22.2,7.2,79.92,,,,,,
TK,49,BL,50.5,29.5,9,132.75,,,,,,
TK,105,BL,66.1,29.7,7.3,108.405,,,,,,
TK,115,BL,127.9,41.2,13.7,282.22,,,ÅZ,,,b_58TKbL_115
TK,117,BL,66.8,33.4,7.5,125.25,,,,,,
TK,154,BL,44.9,21.9,10.2,111.69,,,,,,
TK,163,BL,84.9,25.8,7.9,101.91,,,ÅZ,,,b_59TKbL_163
TK,168,BL,124.2,50.3,12.6,316.89,,,ÅZ,,,b_60TKbL_168
TK,170,BL,100.5,32.1,7.4,118.77,,,,,,
TK,191,BL,105.9,44.3,12.1,268.015,,,,,,
TK,196,BL,152.4,34.4,12.7,218.44,,,ÅZ,,,b_61TKbL_196
TK,210,BL,91.7,25.6,11.3,144.64,,,,,,
TK,213,BL,85.9,37.4,4.8,89.76,,,,,,
TK,218,BL,81.9,27,8.1,109.35,,,ÅZ,,,b_62TKbL_218
TK,219,BL,141.4,38.6,14.3,275.99,,,ÅZ,,,b_63TKbL_219
TK,220,BL,110.8,29.6,7.7,113.96,,,ÅZ,,,b_64TKbL_220
TK,227,BL,77.9,37.8,13.5,255.15,,,,,,
TK,229,BL,111,34.2,8.5,145.35,,,ÅZ,,,b_65TKbL_229
TK,242,BL,113.6,23.1,8.8,101.64,,,,,,
TK,266,BL,99.1,27.7,8.7,120.495,,,ÅZ,,,b_66TKbL_266
TK,275,BL,109.5,30.1,10.6,159.53,,,ÅZ,,,b_67TKbL_275
TK,284,BL,75.9,26.2,6.9,90.39,,,,,,
TK,286,BL,148.3,45.5,11.3,257.075,,,ÅZ,,,b_68TKbL_286
TK,287,BL,129.8,36.2,8,144.8,,,ÅZ,,,b_69TKbL_287
TK,290,BL,115.4,32.5,8.1,131.625,,,ÅZ,,,b_70TKbL_290
TK,302,BL,95,33.1,8.8,145.64,,,,,,
TK,310,BL,115.3,38.1,9.7,184.785,,,ÅZ,,,b_71TKbL_310
TK,326,BL,72.6,28.7,6.5,93.275,,,,,,
TK,347,BL,31.1,12.1,4.3,26.015,,,,,,
TK,372,BL,106,27.9,12.4,172.98,,,ÅZ,,,b_72TKbL_372
TK,397,BL,90.1,43.7,14.8,323.38,,,,,,
TK,401,BL,137.9,32.8,7.7,126.28,,,ÅZ,,,b_73TKbL_401
TK,407,BL,111.2,33.1,6.8,112.54,,,ÅZ,,,b_74TKbL_407
TK,420,BL,113.7,24.6,7,86.1,,,ÅZ,,,b_75TKbL_420
TK,427,BL,55.4,32.1,5.5,88.275,,,,,,
TK,455,BL,88.4,33.7,13.3,224.105,,,ÅZ,,,b_76TKbL_455
TK,457,BL,68.9,17.3,6.8,58.82,,,,,,
TK,460,BL,63.8,20.9,5.2,54.34,,,,,,
TK,490,BL,120.3,32.2,9.6,154.56,,,ÅZ,,,b_77TKbL_490
TK,507,BL,161.5,35.4,11.6,205.32,,,ÅZ,,,b_78TKbL_507
TK,509,BL,107.1,32.1,9.2,147.66,,,ÅZ,,,b_79TKbL_509
TK,510,BL,111.6,44.1,8.9,196.245,,,ÅZ,,,b_80TKbL_510
TK,511,BL,83.2,29.2,9.6,140.16,,,ÅZ,,,b_81TKbL_511
TK,515,BL,87.1,24.3,10.3,125.145,,,ÅZ,,,b_82TKbL_516
TK,522,BL,135.1,33.4,18.3,305.61,,,ÅZ,,,b_83TKbL_522
